C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
1018|GJ 688                             |SB*|027.7694155729 +17.6585017621      | 283|    1|   10.073   pc  |  -0.1252     +0.1252  |ST-L    |2020AJ....160...83S
1019|GJ 699                             |BY*|031.0087027177046 +14.0626510150033| 743|    1|    1.8282  pc  |  -0.0001     +0.0001  |paral   |2020yCat.1350....0G
1020|G 140-51                           |PM*|033.3251142005838 +09.9824787386420|  21|    1|   14.6525  pc  |  -0.0063     +0.0063  |paral   |2020yCat.1350....0G
1021|GJ 752 B                           |Er*|040.4351289796146 -03.3004858478274| 460|    1|    5.9187  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
1022|GJ 748                             |** |037.8796576513131 -03.3031653533626| 138|    1|    9.4092  pc  |  -0.0941     +0.0941  |paral   |2018yCat.1345....0G
1023|GJ 752 A                           |PM*|040.4469677286618 -03.2832705482761| 386|    1|    5.9150  pc  |  -0.0008     +0.0008  |paral   |2020yCat.1350....0G
1024|GJ 763                             |PM*|042.0031285181359 -07.4639596020621| 122|    1|   14.4391  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
1025|GJ 775                             |BY*|044.3001047437966 -14.2226189870011| 210|    1|   12.715   pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1026|GJ 3885                            |PM*|003.8828296080094 +52.3160609856760|  45|    1|   15.0279  pc  |  -0.0070     +0.0070  |paral   |2020yCat.1350....0G
1027|GJ 1210                            |** |027.572456763 +26.395334247        |  39|    1|   12       pc  |                       |ST-L    |2014AJ....147...20N
1028|GJ 2128                            |PM*|029.3580251256739 +24.7057617737019|  68|    1|   15.121   pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
1029|GJ 1222                            |PM*|033.0929430875932 +16.0449983930995|  44|    1|   16.0868  pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
1030|GJ 712                             |PM*|035.2849143505082 +09.3962654289209|  58|    1|   14.8058  pc  |  -0.0056     +0.0056  |paral   |2020yCat.1350....0G
1031|G 141-36                           |PM*|039.4306442170701 +04.1929624072941|  36|    1|    7.6173  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
1032|GJ 740                             |PM*|038.9373907181512 +01.2367390068302| 140|    1|   11.1085  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1033|GJ 1236                            |PM*|042.7002998130434 -03.5356449093358|  48|    1|   10.6165  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
1034|GJ 771 A                           |PM*|046.1254390803640 -11.0950843670336| 534|    1|   13.6008  pc  |  -0.0261     +0.0261  |paral   |2020yCat.1350....0G
1035|GJ 771 B                           |PM*|046.1287508736939 -11.0934198320025|  17|    1|   13.626   pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
1036|GJ 1248                            |PM*|046.8281822058148 -13.1441271991113|  40|    1|   13.2882  pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
1037|LP 575-35                          |PM*|051.0069751084842 -22.2322516792360|  12|    1|   15.0479  pc  |  -0.0395     +0.0395  |paral   |2020yCat.1350....0G
1038|GJ 598                             |PM*|015.6967087315352 +44.1030940450932| 552|    1|   11.916   pc  |  -0.0213     +0.0213  |paral   |2020yCat.1350....0G
1039|G 137-84                           |PM*|021.7792987877134 +40.1583439810312|  25|    1|   13.5652  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
1040|GJ 1204                            |Er*|024.9883373053193 +34.0264279800301|  39|    1|   15.1159  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
1041|G 138-38                           |WD*|024.5540319008148 +34.8256899973027|  16|    1|   12.9278  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
1042|GJ 3960                            |PM*|025.6721888757413 +35.1952452932529|  30|    1|   15.408   pc  |  -0.0089     +0.0089  |paral   |2020yCat.1350....0G
1043|GJ 735                             |SB*|040.8722521075420 +02.9344167572330| 196|    1|   11.123   pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1044|GJ 1215                            |PM*|033.0906889283087 +26.0238729623229|  45|    1|   12.37    pc  |  -0.0221     +0.0221  |paral   |2020yCat.1350....0G
1045|LSR J1817+1328                     |WD*|041.2850130281651 +13.6153278390184|  20|    1|   15.1262  pc  |  -0.0098     +0.0098  |paral   |2020yCat.1350....0G
1046|GJ 4065                            |PM*|043.4563183873210 +09.4562179574105|  55|    1|   12.0273  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
1047|GJ 759                             |PM*|047.3718689193991 -01.8664754914053| 470|    1|   14.922   pc  |  -0.0146     +0.0146  |paral   |2020yCat.1350....0G
1048|GJ 791.2                           |Er*|053.5280657358672 -16.7588482738298| 150|    1|    7.4732  pc  |  -0.0775     +0.0775  |paral   |2018yCat.1345....0G
1049|GJ 4071                            |Er*|044.4175090819134 +08.1820411692680|  58|    1|   10.9332  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
1050|GJ 4169                            |PM*|057.7563156681433 -21.1203372552226|  37|    1|   12.8303  pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
1051|2MASSW J1506544+132106             |BD*|016.2131215109606 +55.5188759711974|  88|    1|   11.7062  pc  |  -0.0260     +0.0260  |paral   |2020yCat.1350....0G
1052|2MASS J15530228+1532369            |BD*|027.10799411 +46.40593951          |  45|    1|   13.3     pc  |                       |plx     |2012ApJ...753..156K
1053|GJ 603                             |PM*|027.7294536834 +45.6959461574      | 545|    1|   11.1651  pc  |  -0.0228     +0.0228  |paral   |2020yCat.1350....0G
1054|GJ 1202                            |PM*|034.3575436349395 +38.5966978065731|  31|    1|   16.8176  pc  |  -0.0111     +0.0111  |paral   |2020yCat.1350....0G
1055|PG 1632+177                        |WD*|034.7515193924520 +37.9207935783945|  36|    1|   25.619   pc  |  -0.0129     +0.0129  |paral   |2020yCat.1350....0G
1056|GJ 3972                            |PM*|034.6981320704044 +34.9416966568981|  58|    1|   15.7814  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
1057|V* V1274 Her                       |BY*|040.1443952849962 +24.5421589340662|  38|    1|   16.417   pc  |  -0.1293     +0.1293  |paral   |2020yCat.1350....0G
1058|GJ 686                             |PM*|042.2401945171681 +24.2967507487016| 187|    1|    8.1596  pc  |  -0.0011     +0.0011  |paral   |2020yCat.1350....0G
1059|LP 449-10                          |PM*|043.8785869549134 +17.4775204718800|  20|    1|   14.929   pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
1060|G 184-24                           |PM*|049.2192898968775 +09.7701574645574|  23|    1|   14.075   pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
1061|G 184-31                           |PM*|049.5137419658660 +08.7215254210844|  24|    1|   11.935   pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
1062|GJ 731                             |PM*|047.8202185211361 +07.3885076794672|  77|    1|   15.207   pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
1063|GJ 1232                            |PM*|050.7345850291428 +04.0340307931838|  57|    1|   10.2836  pc  |  -0.0047     +0.0047  |paral   |2020yCat.1350....0G
1064|GJ 585                             |PM*|025.6565317046846 +53.6004616306415|  58|    1|   11.2198  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
1065|GJ 589 B                           |PM*|027.7102121095822 +51.1537992671431|  41|    1|   14.9412  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
1066|GJ 589 A                           |PM*|027.7034287970686 +51.1513086961312|  58|    1|   14.9527  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
1067|GJ 1200                            |PM*|034.4032741468519 +42.9233445124794|  41|    1|   16.9847  pc  |  -0.0133     +0.0133  |paral   |2020yCat.1350....0G
1068|GJ 655                             |PM*|042.4808946982339 +32.0999215217268|  86|    1|   14.0908  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
1069|GJ 4003                            |PM*|043.6899925580295 +28.8199046377582|  26|    1|   15.896   pc  |  -0.0113     +0.0113  |paral   |2020yCat.1350....0G
1070|GJ 745 B                           |PM*|053.3220653135580 +06.0431732023426| 151|    1|    8.8321  pc  |  -0.0014     +0.0014  |paral   |2020yCat.1350....0G
1071|GJ 745 A                           |PM*|053.3184960687728 +06.0746907478753| 146|    1|    8.8298  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
1072|GJ 9652 B                          |PM*|052.7173929261184 +03.7738898628506|  41|    1|   18.1084  pc  |  -0.0072     +0.0072  |paral   |2020yCat.1350....0G
1073|GJ 1235                            |PM*|054.8663529956825 +03.0457753406581|  66|    1|   10.5933  pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
1074|GJ 609                             |PM*|035.1217171705037 +46.0068204468430|  69|    1|   10.0206  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1075|GJ 3976                            |Er*|042.0583686888165 +35.9354249234903|  41|    1|   10.469   pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
1076|GJ 4026                            |PM*|049.2065646152651 +24.6930577322740|  34|    1|   15.0139  pc  |  -0.0051     +0.0051  |paral   |2020yCat.1350....0G
1077|GJ 1230 B                          |LM*|054.2863347023170 +13.1436452949418|  48|    1|    9.9447  pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
1078|GJ 1230 A                          |SB*|054.2849196222964 +13.1432011511633|  61|    1|    9.9319  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
1079|GJ 9520                            |PM*|031.0568885756123 +55.2391256264929| 124|    1|   11.451   pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
1080|2MASSI J1526140+204341             |BD*|031.1844080465217 +54.1949012311206|  27|    1|   20.6983  pc  |  -0.3330     +0.3330  |paral   |2020yCat.1350....0G
1081|GJ 649                             |PM*|046.5238029113438 +35.3373436536004| 197|    1|   10.3914  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1082|GJ 669 A                           |Er*|049.0615159017787 +30.8760600807773| 154|    1|   10.7543  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
1083|GJ 669 B                           |Er*|049.0597967399530 +30.8804528135034| 111|    1|   10.7575  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
1084|GJ 695 A                           |** |052.4386601901897 +25.6261250664662| 675|    1|    8.3385  pc  |  -0.0107     +0.0107  |paral   |2020yCat.1350....0G
1085|GJ 4044                            |BY*|052.9256802495369 +19.4650417951833|  50|    1|   17.844   pc  |  -0.0072     +0.0072  |paral   |2020yCat.1350....0G
1086|GJ 778                             |PM*|061.8813782971898 -04.2044744824328| 226|    1|   15.610   pc  |  -0.0120     +0.0120  |ST-L    |2020AJ....160...83S
1087|TVLM 513-46                        |LM*|031.8466008648013 +60.3790930328307| 155|    1|   10.734   pc  |  -0.0156     +0.0156  |paral   |2020yCat.1350....0G
1088|GJ 704.0                           |SB*|056.9727854621468 +22.2984766450483| 441|    1|   15.774   pc  |  -0.0187     +0.0187  |paral   |2020yCat.1350....0G
1089|LSR J1826+3014                     |LM*|058.1759335559349 +18.3119198802878|  20|    1|   11.1005  pc  |  -0.0102     +0.0102  |paral   |2020yCat.1350....0G
1090|LP 335-12                          |LM*|058.9530478723881 +15.4925519999654|  18|    1|   12.142   pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
1091|GJ 794                             |WD*|067.2178325687403 -09.0237319434619| 298|    1|   14.8349  pc  |  -0.0080     +0.0080  |paral   |2020yCat.1350....0G
1092|GJ 813                             |PM*|068.2608612343567 -14.8631226265583|  65|    1|   14.4305  pc  |  -0.0051     +0.0051  |paral   |2020yCat.1350....0G
1093|2MASS J15031961+2525196            |BD*|037.1856357364586 +60.4691676443979|  59|    1|    6.4194  pc  |  -0.0311     +0.0311  |paral   |2020yCat.1350....0G
1094|LP 331-57                          |SB*|054.5886498886 +35.7024001918      |  34|    1|   11       pc  |                       |ST-L    |2014AJ....147...20N
1095|GJ 672                             |RG*|055.8657905750215 +32.3090861654765| 435|    1|   14.5863  pc  |  -0.0117     +0.0117  |paral   |2020yCat.1350....0G
1096|LSR J1835+3259                     |PM*|061.6459615099674 +17.4440026082828| 113|    1|    5.6885  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
1097|GJ 738 A                           |PM*|063.3483652659214 +13.2656066724763|  25|    1|   14.894   pc  |  -0.0263     +0.0263  |paral   |2020yCat.1350....0G
1098|GJ 738 B                           |PM*|063.3482885174955 +13.2659590386178|  14|    1|   14.7533  pc  |  -0.0473     +0.0473  |paral   |2018yCat.1345....0G
1099|GJ 747                             |** |063.97332471 +11.07292010          |  71|    1|    8.3     pc  |                       |paral   |2010A&ARv..18...67T
1100|GJ 4098                            |PM*|063.8021795078219 +10.8108611559372|  49|    1|   12.4714  pc  |  -0.0025     +0.0025  |paral   |2020yCat.1350....0G
1101|LSPM J1524+2925                    |LM*|046.0172246537891 +56.3907729272524|  16|    1|   13.078   pc  |  -0.0075     +0.0075  |paral   |2020yCat.1350....0G
1102|LP 276-22                          |PM*|056.7317705719861 +39.6946767595068|  22|    1|   11.9036  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
1103|GJ 638                             |PM*|055.2940797136270 +39.8203151643488| 175|    1|    9.8462  pc  |  -0.0014     +0.0014  |paral   |2020yCat.1350....0G
1104|2MASSI J1721039+334415             |BD*|057.3528927522863 +32.5205329098133|  32|    1|   16.184   pc  |  -0.0408     +0.0408  |paral   |2020yCat.1350....0G
1105|GJ 758                             |PM*|066.0764736826693 +08.3832439027679| 261|    1|   15.608   pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
1106|GJ 4122                            |PM*|067.5802260050387 +03.8732230131686|  41|    1|   13.7552  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1107|GJ 767 B                           |PM*|067.3187387057416 +03.5827326663568|  42|    1|   13.9502  pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
1108|GJ 777 B                           |PM*|067.3644593393000 -00.6554864326168|  76|    1|   15.9931  pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
1109|LSR J2000+3057                     |PM*|067.9091792172233 +00.5351449918167|  15|    1|   11.6719  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
1110|GJ 626.2                           |WD*|059.0941464217446 +43.5930638559279| 186|    1|   15.8955  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
1111|GJ 3992                            |PM*|062.4852251144205 +35.2891473759653|  65|    1|   12.038   pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1112|LP 278-42                          |PM*|063.6168317569037 +27.4598845762587|  15|    1|   14.7904  pc  |  -0.0056     +0.0056  |paral   |2020yCat.1350....0G
1113|GJ 706                             |PM*|065.3335484601812 +24.2074652985711| 406|    1|   11.0959  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
1114|GJ 1223                            |PM*|063.9266507598993 +25.2438152846483|  46|    1|   12.2341  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
1115|GJ 4048                            |PM*|066.1860624379778 +22.7202476221058|  55|    1|   11.3622  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
1116|GJ 4049                            |PM*|066.1856715809729 +22.7229482559449|  38|    1|   11.366   pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1117|G 125-15                           |SB*|069.4119961218154 +08.3199070306064|  34|    1|   40.083   pc  |  -0.0355     +0.0355  |paral   |2020yCat.1350....0G
1118|G 125-34                           |PM*|070.9472907015603 +05.1271196604129|  22|    1|   13.443   pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
1119|GJ 3928                            |** |056.319179347 +50.159035730        |  62|    1|   28.0     pc  |                       |ST-L    |2015ApJ...812....3W
